session_id,phase_id,E,lib_size,n_obs,rho_reward_causes_choice,rho_choice_causes_reward
mmgr4wtlfg07a6,2,2,62,200,0.37456349999999994,0.3733735
mmgr4wtlfg07a6,2,2,105,200,0.40976749999999995,0.4409605000000001
mmgr4wtlfg07a6,2,2,147,200,0.4159960000000001,0.537878
mmgr4wtlfg07a6,2,2,190,200,0.43755250000000007,0.590397
mmgr4wtlfg07a6,3,2,20,200,0.0017535000000000016,0.16516799999999998
mmgr4wtlfg07a6,3,2,62,200,0.138855,0.24089449999999996
mmgr4wtlfg07a6,3,2,105,200,0.18201,0.264912
mmgr4wtlfg07a6,3,2,147,200,0.2343595,0.356802
mmgr4wtlfg07a6,3,2,190,200,0.25688,0.36706049999999996
mmgr4wtlfg07a6,4,3,20,200,0.1858475,0.08441400000000002
mmgr4wtlfg07a6,4,3,62,200,0.25805549999999994,0.09516350000000001
mmgr4wtlfg07a6,4,3,105,200,0.26740200000000003,0.11457350000000002
mmgr4wtlfg07a6,4,3,147,200,0.32848350000000004,0.143822
mmgr4wtlfg07a6,4,3,190,200,0.36949199999999993,0.12603949999999997
mmgr8c41csnx7y,1,3,20,161,0.17003450000000003,0.3835155
mmgr8c41csnx7y,1,3,52,161,0.22026449999999995,0.425963
mmgr8c41csnx7y,1,3,85,161,0.215685,0.41745
mmgr8c41csnx7y,1,3,118,161,0.2445445,0.40956000000000004
mmgr8c41csnx7y,1,3,151,161,0.26130699999999996,0.4184914999999999
mmgr8c41csnx7y,2,2,20,200,0.3361665,0.06431049999999999
mmgr8c41csnx7y,2,2,62,200,0.4018955,0.080876
mmgr8c41csnx7y,2,2,105,200,0.4609305,0.139083
mmgr8c41csnx7y,2,2,147,200,0.48422599999999993,0.16832850000000002
mmgr8c41csnx7y,2,2,190,200,0.5524540000000001,0.1943685
mmgr8c41csnx7y,3,2,20,195,0.07473349999999998,0.284288
mmgr8c41csnx7y,3,2,61,195,0.12123700000000001,0.3563385
mmgr8c41csnx7y,3,2,102,195,0.18698299999999998,0.4022895
mmgr8c41csnx7y,3,2,143,195,0.22321,0.433789
mmgr8c41csnx7y,3,2,185,195,0.24155799999999994,0.4577475
mmgr8c41csnx7y,4,6,20,115,0.22973849999999998,0.339561
mmgr8c41csnx7y,4,6,41,115,0.343188,0.441145
