session_id,overall_switch_rate,mean_run_length,choice_entropy,win_stay_rate,lose_shift_rate,overall_reward_rate,total_rewards,choice_prop_a,total_clicks,adaptation_lag_phase2_s,adaptation_lag_phase3_s,best_E,ccm_asymmetry
mmh0pjhqfbciu8,0.37158469945355194,3.9795081967213113,0.9997361209374863,0.7208029197080292,0.6502732240437158,0.7486338797814208,548,0.49043715846994534,732,9.646,7.294,1,0.0830364999999999
mmh0puch6r88f0,0.5100896860986547,2.9439461883408073,0.9998694459264538,0.5714285714285714,0.6945454545454546,0.6905829596412556,616,0.5067264573991032,892,6.369,12.657,2,0.1751595
mmh0r154h7irg3,0.08411214953271028,8.08071367884452,0.9992870376154209,0.9569160997732427,0.10884353741496598,0.3746813933729822,441,0.4842820730671198,1177,4.07,9.51,3,-0.12803949999999992
mmh0r34rqnesgg,0.27342047930283225,4.4411764705882355,0.9995069043761566,0.9347408829174664,0.547979797979798,0.5675381263616558,521,0.5130718954248366,918,8.421,10.413,4,0.49875100000000006
mmh0rqn6g1cadb,0.3016845329249617,3.2695252679938744,0.9999847748276378,0.8073217726396917,0.7293233082706767,0.7963246554364471,520,0.5022970903522205,653,10.938,11.462,1,-0.009772000000000003
mmh0tro0khha5x,0.16,5.085263157894737,0.999280531064971,0.857429718875502,0.17960088691796008,0.5242105263157895,498,0.4842105263157895,950,1.441,0.193,2,0.1513410000000001
mmh0uacrkmrg83,0.17827298050139276,6.967966573816156,0.9989027089208061,0.9125,0.3628691983122363,0.6685236768802229,480,0.5194986072423399,718,8.069,10.309,3,-0.20862050000000004
mmh0ueb9o9dis7,0.2935897435897436,3.7051282051282053,0.9990702531566406,0.7539149888143176,0.35843373493975905,0.573076923076923,447,0.48205128205128206,780,14.33,6.653,1,0.055884500000000004
mmh0vbvu4yn6l1,0.10999160369437448,6.028547439126784,0.9999384663658332,0.9536784741144414,0.1385176184690158,0.30814441645675905,367,0.49538203190596136,1191,1.942,5.988,3,-0.06758
mmh0vh7gck5q8n,0.12562814070351758,6.541457286432161,0.999107261904943,0.9779559118236473,0.30067567567567566,0.6268844221105527,499,0.5175879396984925,796,2.309,11.716,5,-0.5000275
