session_id,model,phase,accuracy,precision,recall,f1,mcc
mmgnnwif7rgnag,generalized_matching_law,Ph 1,0.5545454545454546,0.5317919075144508,0.8440366972477065,0.6524822695035462,0.1394361751519711
mmgnnwif7rgnag,generalized_matching_law,Ph 2,0.6434782608695652,0.7421383647798742,0.7421383647798742,0.7421383647798742,0.16467357604747984
mmgnnwif7rgnag,generalized_matching_law,Ph 3,0.7477876106194691,0.6578947368421053,0.36231884057971014,0.4672897196261682,0.3441999289265232
mmgnnwif7rgnag,generalized_matching_law,Ph 4,0.5441176470588235,0.547945205479452,0.5797101449275363,0.5633802816901409,0.08739999235278488
mmgnnwif7rgnag,melioration,Full,0.7130541871921182,0.7306666666666667,0.6748768472906403,0.7016645326504481,0.42735594590502823
mmgnnwif7rgnag,melioration,Ph 1,0.6409090909090909,0.6293103448275862,0.6697247706422018,0.6488888888888888,0.2827466443428447
mmgnnwif7rgnag,melioration,Ph 2,0.7478260869565218,0.8258064516129032,0.8050314465408805,0.8152866242038217,0.4185664302244153
mmgnnwif7rgnag,melioration,Ph 3,0.8141592920353983,0.8,0.5217391304347826,0.631578947368421,0.5355923946226833
mmgnnwif7rgnag,melioration,Ph 4,0.6029411764705882,0.6271186440677966,0.5362318840579711,0.578125,0.20969596439813676
mmgnnwif7rgnag,kinetic,Full,0.6157635467980296,0.6223958333333334,0.5886699507389163,0.6050632911392405,0.23186775490188338
mmgnnwif7rgnag,kinetic,Ph 1,0.5590909090909091,0.5454545454545454,0.6605504587155964,0.5975103734439834,0.1224795483820951
mmgnnwif7rgnag,kinetic,Ph 2,0.6347826086956522,0.7450980392156863,0.7169811320754716,0.7307692307692307,0.1641465651955494
mmgnnwif7rgnag,kinetic,Ph 3,0.6991150442477876,0.5135135135135135,0.2753623188405797,0.3584905660377358,0.2000288487559412
mmgnnwif7rgnag,kinetic,Ph 4,0.5367647058823529,0.5483870967741935,0.4927536231884058,0.5190839694656488,0.07512810723919655
mmgnnwif7rgnag,behavioral_momentum,Full,0.6527093596059114,0.6666666666666666,0.6108374384236454,0.6375321336760925,0.3064953408118857
mmgnnwif7rgnag,behavioral_momentum,Ph 1,0.6181818181818182,0.6016260162601627,0.6788990825688074,0.6379310344827587,0.23912361343588312
mmgnnwif7rgnag,behavioral_momentum,Ph 2,0.6826086956521739,0.7336956521739131,0.8490566037735849,0.7871720116618076,0.18352991980670957
mmgnnwif7rgnag,behavioral_momentum,Ph 3,0.7123893805309734,0.7,0.10144927536231885,0.17721518987341772,0.18440114238509828
mmgnnwif7rgnag,behavioral_momentum,Ph 4,0.5588235294117647,0.5818181818181818,0.463768115942029,0.5161290322580645,0.12273527337384528
mmgnnwif7rgnag,hill_climbing,Full,0.7364532019704434,0.7307692307692307,0.7487684729064039,0.7396593673965937,0.47304991679126607
mmgnnwif7rgnag,hill_climbing,Ph 1,0.6772727272727272,0.6696428571428571,0.6880733944954128,0.6787330316742082,0.35478404901780836
mmgnnwif7rgnag,hill_climbing,Ph 2,0.7739130434782608,0.8165680473372781,0.8679245283018868,0.8414634146341463,0.4513399414350768
mmgnnwif7rgnag,hill_climbing,Ph 3,0.8053097345132744,0.6923076923076923,0.6521739130434783,0.6716417910447762,0.5339326528530691
mmgnnwif7rgnag,hill_climbing,Ph 4,0.6544117647058824,0.6571428571428571,0.6666666666666666,0.6618705035971223,0.3085578437977829
mmgnnwif7rgnag,q_learning,Full,0.7130541871921182,0.7306666666666667,0.6748768472906403,0.7016645326504481,0.42735594590502823
mmgnnwif7rgnag,q_learning,Ph 1,0.6409090909090909,0.6293103448275862,0.6697247706422018,0.6488888888888888,0.2827466443428447
mmgnnwif7rgnag,q_learning,Ph 2,0.7478260869565218,0.8258064516129032,0.8050314465408805,0.8152866242038217,0.4185664302244153
mmgnnwif7rgnag,q_learning,Ph 3,0.8141592920353983,0.8,0.5217391304347826,0.631578947368421,0.5355923946226833
mmgnnwif7rgnag,q_learning,Ph 4,0.6029411764705882,0.6271186440677966,0.5362318840579711,0.578125,0.20969596439813676
mmgnnwif7rgnag,q_dual_alpha,Full,0.7130541871921182,0.7306666666666667,0.6748768472906403,0.7016645326504481,0.42735594590502823
mmgnnwif7rgnag,q_dual_alpha,Ph 1,0.6409090909090909,0.6293103448275862,0.6697247706422018,0.6488888888888888,0.2827466443428447
mmgnnwif7rgnag,q_dual_alpha,Ph 2,0.7478260869565218,0.8258064516129032,0.8050314465408805,0.8152866242038217,0.4185664302244153
mmgnnwif7rgnag,q_dual_alpha,Ph 3,0.8141592920353983,0.8,0.5217391304347826,0.631578947368421,0.5355923946226833
mmgnnwif7rgnag,q_dual_alpha,Ph 4,0.6029411764705882,0.6271186440677966,0.5362318840579711,0.578125,0.20969596439813676
mmgnnwif7rgnag,q_forgetting,Full,0.7352216748768473,0.7369727047146402,0.7315270935960592,0.7342398022249691,0.47045619331801514
mmgnnwif7rgnag,q_forgetting,Ph 1,0.6590909090909091,0.6416666666666667,0.7064220183486238,0.6724890829694323,0.3203479456661632
mmgnnwif7rgnag,q_forgetting,Ph 2,0.7695652173913043,0.8271604938271605,0.8427672955974843,0.8348909657320872,0.4539232633296024
mmgnnwif7rgnag,q_forgetting,Ph 3,0.8185840707964602,0.7692307692307693,0.5797101449275363,0.6611570247933884,0.5506874506038015
mmgnnwif7rgnag,q_forgetting,Ph 4,0.6617647058823529,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.32338308457711445
