session_id,model,n_params,nll,aic,bic,n_obs,window,threshold,beta
mmh1cyh0ahaw8s,softmax_mvt,2,667.1502175177233,1338.3004350354465,1348.1633786466455,1024,5.0,,2.9302820405265098
mmh1eq07kkdfkw,mvt_threshold,1,568.8299352975821,1139.6598705951642,1144.648283777164,1084,5.0,,
mmh1eq07kkdfkw,patch_leaving,1,955.606062050046,1913.212124100092,1918.2005372820918,1084,,0.5,
mmh1eq07kkdfkw,softmax_mvt,2,694.8312801079941,1393.6625602159882,1403.6393865799873,1084,5.0,,3.084198568789975
mmh1jfrxrszco0,mvt_threshold,1,250.99891986788418,503.99783973576837,508.2458826102768,517,5.0,,
mmh1jfrxrszco0,patch_leaving,1,257.93039167348354,517.8607833469671,522.1088262214755,517,,0.5,
mmh1jfrxrszco0,softmax_mvt,2,314.06567896032993,632.1313579206599,640.6274436696767,517,30.0,,20.641775174091435
mmh1qje9negjr0,mvt_threshold,1,619.6183706858402,1241.2367413716804,1246.0545719431345,914,5.0,,
mmh1qje9negjr0,patch_leaving,1,648.7305522693607,1299.4611045387214,1304.2789351101756,914,,0.5,
mmh1qje9negjr0,softmax_mvt,2,597.6669774135385,1199.333954827077,1208.9696159699852,914,15.0,,3.209914144797577
mmh1sestgp7zew,mvt_threshold,1,427.2715895887885,856.543179177577,861.575803438605,1133,5.0,,
mmh1sestgp7zew,patch_leaving,1,924.9512652308421,1851.9025304616841,1856.9351547227122,1133,,0.5,
mmh1sestgp7zew,softmax_mvt,2,657.3447023735783,1318.6894047471567,1328.7546532692127,1133,15.0,,4.902592396070994
mmh1tezp242ppu,mvt_threshold,1,654.6131289951401,1311.2262579902801,1316.0921490651635,959,5.0,,
mmh1tezp242ppu,patch_leaving,1,618.569475606024,1239.138951212048,1244.0048422869313,959,,0.5,
mmh1tezp242ppu,softmax_mvt,2,632.705485612373,1269.410971224746,1279.1427533745127,959,5.0,,2.3934968295583494
mmh1wzqpu4iob1,mvt_threshold,1,380.088066246366,762.176132492732,766.9178331873841,847,5.0,,
mmh1wzqpu4iob1,patch_leaving,1,474.35608280251967,950.7121656050393,955.4538662996914,847,,0.5,
mmh1wzqpu4iob1,softmax_mvt,2,469.18327654589075,942.3665530917815,951.8499544810857,847,10.0,,7.056672005653562
mmh250jg0prrne,mvt_threshold,1,655.9272327708512,1313.8544655417024,1318.5662059367587,822,20.0,,
mmh250jg0prrne,patch_leaving,1,687.8120030766124,1377.6240061532249,1382.3357465482811,822,,0.5000081846459504,
mmh250jg0prrne,softmax_mvt,2,529.196035125242,1062.392070250484,1071.8155510405963,822,10.0,,4.140483223361804
mmh28cu87aoonk,mvt_threshold,1,683.8762635445648,1369.7525270891297,1374.4654832898068,823,30.0,,
mmh28cu87aoonk,patch_leaving,1,819.7331109343238,1641.4662218686476,1646.1791780693247,823,,0.5000081846280707,
mmh28cu87aoonk,softmax_mvt,2,557.0808204596219,1118.1616409192438,1127.587553320598,823,30.0,,3.0094344222727862
