session_id,approach,theta,E,rho,accuracy,f1,mcc,n_pred
mmh1qje9negjr0,smap_best,0.5,2,0.9082291962853873,0.8791946308724832,0.9032258064516129,0.7553365160214127,149
mmh1sestgp7zew,smap_linear,0.0,2,0.8347542708021918,0.8590604026845637,0.8627450980392157,0.717994998002805,149
mmh1sestgp7zew,smap_best,0.0,2,0.8347542708021918,0.8590604026845637,0.8627450980392157,0.717994998002805,149
mmh1tezp242ppu,smap_linear,0.0,6,0.7522857748338977,0.7315436241610739,0.7619047619047619,0.46752250971172427,149
mmh1tezp242ppu,smap_best,0.0,6,0.7522857748338977,0.7315436241610739,0.7619047619047619,0.46752250971172427,149
mmh1wzqpu4iob1,smap_linear,0.0,2,0.8369980318445668,0.8187919463087249,0.8057553956834532,0.6366128856461725,149
mmh1wzqpu4iob1,smap_best,0.0,2,0.8369980318445668,0.8187919463087249,0.8057553956834532,0.6366128856461725,149
mmh250jg0prrne,smap_linear,0.0,2,0.8952516680907037,0.7785234899328859,0.7785234899328859,0.5571171171171171,149
mmh250jg0prrne,smap_best,0.0,2,0.8952516680907037,0.7785234899328859,0.7785234899328859,0.5571171171171171,149
mmh28cu87aoonk,smap_linear,0.0,5,0.943437208873911,0.785234899328859,0.7611940298507462,0.6244998409793526,149
mmh28cu87aoonk,smap_best,0.0,5,0.943437208873911,0.785234899328859,0.7611940298507462,0.6244998409793526,149
