session_id,model,n_params,nll,aic,bic,n_obs,alpha,beta,alpha_pos,alpha_neg,forget,alpha_base,alpha_gain,decay,alpha_phase1,alpha_phase2,alpha_phase3,alpha_phase4,sensitivity,bias,r_squared,n_bins
mmgp5kmoz5itw5,logistic,5,81.56949329514967,173.13898659029934,191.5227556016408,292.0,,,,,,,,,,,,,,,,
mmgp92mez7ni28,random,0,815.1410843384956,1630.2821686769912,1630.2821686769912,1176.0,,,,,,,,,,,,,,,,
mmgp92mez7ni28,bias,1,811.3802709144752,1624.7605418289504,1629.830415957409,1176.0,,,,,,,,,,,,,,,,
mmgp92mez7ni28,wsls,2,809.4498546257281,1622.8997092514562,1633.0394575083733,1176.0,,,,,,,,,,,,,,,,
mmgp92mez7ni28,logistic,5,411.7133972351416,833.4267944702832,858.7761651125761,1176.0,,,,,,,,,,,,,,,,
mmgp978syi159c,random,0,676.5116482265066,1353.0232964530132,1353.0232964530132,976.0,,,,,,,,,,,,,,,,
mmgp978syi159c,bias,1,676.4378758759551,1354.8757517519102,1359.759214338323,976.0,,,,,,,,,,,,,,,,
mmgp978syi159c,wsls,2,674.7298152576241,1353.459630515248,1363.2265556880743,976.0,,,,,,,,,,,,,,,,
mmgp978syi159c,logistic,5,515.5617127346284,1041.1234254692567,1065.5407384013222,976.0,,,,,,,,,,,,,,,,
mmgp9zmmm2qlbz,random,0,716.7141846989834,1433.428369397967,1433.428369397967,1034.0,,,,,,,,,,,,,,,,
mmgp9zmmm2qlbz,bias,1,715.7777317492481,1433.5554634984962,1438.4966535535646,1034.0,,,,,,,,,,,,,,,,
mmgp9zmmm2qlbz,wsls,2,713.267751517408,1430.535503034816,1440.4178831449526,1034.0,,,,,,,,,,,,,,,,
mmgp9zmmm2qlbz,logistic,5,586.7864313911912,1183.5728627823823,1208.2788130577242,1034.0,,,,,,,,,,,,,,,,
mmgpaypnopkm1q,random,0,605.1174886288322,1210.2349772576645,1210.2349772576645,873.0,,,,,,,,,,,,,,,,
mmgpaypnopkm1q,bias,1,604.9519569749866,1211.9039139499732,1216.6758495058127,873.0,,,,,,,,,,,,,,,,
mmgpaypnopkm1q,wsls,2,603.8050290650227,1211.6100581300454,1221.1539292417249,873.0,,,,,,,,,,,,,,,,
mmgpaypnopkm1q,logistic,5,272.87335533390126,555.7467106678025,579.6063884470005,873.0,,,,,,,,,,,,,,,,
mmgpciu4e2yunz,random,0,703.5443882683445,1407.088776536689,1407.088776536689,1015.0,,,,,,,,,,,,,,,,
mmgpciu4e2yunz,bias,1,703.4020170795318,1408.8040341590636,1413.7266780505397,1015.0,,,,,,,,,,,,,,,,
mmgpciu4e2yunz,wsls,2,702.5404206759249,1409.0808413518498,1418.9261291348016,1015.0,,,,,,,,,,,,,,,,
mmgpciu4e2yunz,logistic,5,286.0889215793637,582.1778431587275,606.7910626161068,1015.0,,,,,,,,,,,,,,,,
mmgpgi4g1jzpv2,random,0,704.9306826294644,1409.8613652589288,1409.8613652589288,1017.0,,,,,,,,,,,,,,,,
mmgpgi4g1jzpv2,bias,1,702.8520783112831,1407.7041566225662,1412.6287690186148,1017.0,,,,,,,,,,,,,,,,
mmgpgi4g1jzpv2,wsls,2,701.7610785232304,1407.5221570464607,1417.371381838558,1017.0,,,,,,,,,,,,,,,,
mmgpgi4g1jzpv2,logistic,5,359.1081038674447,728.2162077348894,752.8392697151322,1017.0,,,,,,,,,,,,,,,,
mmgpiq4ct3r8s1,random,0,589.1751034759535,1178.350206951907,1178.350206951907,850.0,,,,,,,,,,,,,,,,
mmgpiq4ct3r8s1,bias,1,586.9119176597619,1175.8238353195238,1180.5690716690085,850.0,,,,,,,,,,,,,,,,
mmgpiq4ct3r8s1,wsls,2,585.4338095990744,1174.8676191981488,1184.3580918971174,850.0,,,,,,,,,,,,,,,,
mmgpiq4ct3r8s1,logistic,5,445.7566071993522,901.5132143987043,925.2393961461264,850.0,,,,,,,,,,,,,,,,
mmgpqa16u4u07b,random,0,683.4431200321061,1366.8862400642122,1366.8862400642122,986.0,,,,,,,,,,,,,,,,
mmgpqa16u4u07b,bias,1,683.4106653149618,1368.8213306299235,1373.714986984526,986.0,,,,,,,,,,,,,,,,
mmgpqa16u4u07b,wsls,2,682.6753838008195,1369.350767601639,1379.1380803108443,986.0,,,,,,,,,,,,,,,,
mmgpqa16u4u07b,logistic,5,310.33615255579286,630.6723051115857,655.1405868845989,986.0,,,,,,,,,,,,,,,,
mmgpy8l4xh9nto,random,0,761.07560425482,1522.15120850964,1522.15120850964,1098.0,,,,,,,,,,,,,,,,
mmgpy8l4xh9nto,bias,1,760.9590245368411,1523.918049073682,1528.9192946957517,1098.0,,,,,,,,,,,,,,,,
mmgpy8l4xh9nto,wsls,2,758.205642425074,1520.411284850148,1530.413776094287,1098.0,,,,,,,,,,,,,,,,
mmgpy8l4xh9nto,logistic,5,739.4782845229604,1488.9565690459208,1513.9627971562682,1098.0,,,,,,,,,,,,,,,,
mmgq3qouddjc6z,random,0,799.198699185617,1598.397398371234,1598.397398371234,1153.0,,,,,,,,,,,,,,,,
mmgq3qouddjc6z,bias,1,799.1774501392094,1600.3549002784189,1605.405022798688,1153.0,,,,,,,,,,,,,,,,
