session_id,overall_switch_rate,mean_run_length,choice_entropy,win_stay_rate,lose_shift_rate,overall_reward_rate,total_rewards,choice_prop_a,total_clicks,adaptation_lag_phase2_s,adaptation_lag_phase3_s,dfa_alpha,sample_entropy,determinism,laminarity,trapping_time,best_E,ccm_asymmetry
mmh0ocgvf4p325,0.10202020202020202,10.446808510638299,0.9987013172132608,0.9327548806941431,0.13257575757575757,0.46565656565656566,461,0.47878787878787876,990,0.057,5.979,0.7727655332099721,1.1531331275465269,0.9827430046248428,0.9983969349396046,8.89149832250696,5,0.2028534999999999
mmh0opq734nw1a,0.11546840958605664,10.32183908045977,0.9999144011814889,0.9204545454545454,0.1488469601677149,0.4793028322440087,440,0.49455337690631807,918,13.949,6.214,0.763547968347135,1.1509802741854256,0.9795187854076044,0.9980176439087176,7.828438778142157,2,0.2752015
mmh0ozswma6i3j,0.09970384995064166,10.391752577319588,0.9999992970479156,0.9472295514511874,0.12796208530805686,0.3741362290227048,379,0.49950641658440276,1013,0.841,8.981,0.7312257910316925,1.0773025020813587,0.9229300562024364,0.9890687605883776,5.075622714413855,3,0.14188649999999992
mmh0pa4lgnz2nd,0.22793296089385476,4.631578947368421,0.999999099469217,0.8406593406593407,0.33620689655172414,0.6100558659217877,546,0.4994413407821229,895,8.637,10.767,0.5246415260304462,1.3789548786318448,0.9781479666829984,0.9943760061594455,9.331745927482922,1,0.17243899999999998
mmh0pj6zqdvwmg,0.09669621273166801,11.467289719626168,0.9998309071865779,0.9512820512820512,0.1188235294117647,0.314262691377921,390,0.492344883158743,1241,5.978,5.023,0.6798068124811394,1.2635816820225354,0.9035897435897436,0.9853680727874276,4.750418693675732,5,0.07509449999999995
mmh0pjhqfbciu8,0.37158469945355194,5.731958762886598,0.9997361209374863,0.7208029197080292,0.6502732240437158,0.7486338797814208,548,0.49043715846994534,732,9.646,7.294,0.6144575281089898,0.4759276839147134,0.979862008191386,0.9923043029811438,13.104006876487702,1,0.10680499999999987
mmh0puch6r88f0,0.5100896860986547,5.037037037037037,0.9998694459264538,0.5714285714285714,0.6945454545454546,0.6905829596412556,616,0.5067264573991032,892,6.369,12.657,0.6028542252716338,1.033328467384244,0.9448827062511466,0.9677033397410844,12.266316161973611,2,0.2741714999999999
mmh0r154h7irg3,0.08411214953271028,12.21875,0.9992870376154209,0.9569160997732427,0.10884353741496598,0.3746813933729822,441,0.4842820730671198,1177,4.07,9.51,0.7690682187888407,1.1083904786497452,0.8976945828775171,0.9833880312791216,4.5628613056351925,3,-0.03213250000000001
mmh0r34rqnesgg,0.27342047930283225,6.045454545454546,0.9995069043761566,0.9347408829174664,0.547979797979798,0.5675381263616558,521,0.5130718954248366,918,8.421,10.413,0.6319851721236017,1.6261980812915655,0.9700663466445758,0.9851589138972922,11.09198034643571,4,0.10312700000000008
mmh0rqn6g1cadb,0.3016845329249617,4.888888888888889,0.9999847748276378,0.8073217726396917,0.7293233082706767,0.7963246554364471,520,0.5022970903522205,653,10.938,11.462,0.5030624340172614,1.2483628937030038,0.9706505490250906,0.9890087435337642,9.416444808519351,1,-0.03928599999999999
mmh0tro0khha5x,0.16,6.534722222222222,0.999280531064971,0.857429718875502,0.17960088691796008,0.5242105263157895,498,0.4842105263157895,950,1.441,0.193,0.6270802460669077,1.4977682275830093,0.9752977047389132,0.994330136652566,8.893034004621988,2,-0.239534
mmh0uacrkmrg83,0.17827298050139276,8.182926829268293,0.9989027089208061,0.9125,0.3628691983122363,0.6685236768802229,480,0.5194986072423399,718,8.069,10.309,0.7806733797472051,0.9230704188595339,0.9757342714554528,0.9940685592735008,8.413308406037945,3,0.23629199999999995
mmh0ueb9o9dis7,0.2935897435897436,4.741496598639456,0.9990702531566406,0.7539149888143176,0.35843373493975905,0.573076923076923,447,0.48205128205128206,780,14.33,6.653,0.6200822026245584,1.382806391068172,0.9702904888624224,0.9917282319444702,8.864723250301493,1,-0.159725
mmh0vbvu4yn6l1,0.10999160369437448,9.146153846153846,0.9999384663658332,0.9536784741144414,0.1385176184690158,0.30814441645675905,367,0.49538203190596136,1191,1.942,5.988,0.6381663199208958,1.3416505186432255,0.9083300188493264,0.9787642450758296,4.891241412090049,3,0.06223750000000006
